Artist Name,Artist ID,Genres
Grandmaster Caz,6QeZTS8BrU3r2TYJdA68j9,"['bronx hip hop', 'old school hip hop']"
Kool Moe Dee,2RE8NwNxsOyuNZDD0jRxHP,"['east coast hip hop', 'harlem hip hop', 'new jack swing', 'old school hip hop']"
Florence Welch,0IROOdQ2fQUcoaEPqt1Isg,['uk pop']
Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,['edm']
Gigi D'Agostino,1OAjDaKgg00KCUYqDe68un,"['eurodance', 'italo dance']"
RAYE,5KKpBU5eC2tJDzf0wmlRp2,"['uk contemporary r&b', 'uk pop']"
OMI,5MouCg6ta7zAxsfMEbc1uh,['reggae fusion']
Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,"['edm', 'german dance', 'pop dance', 'tropical house']"
Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,"['hip pop', 'pop']"
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,"['art pop', 'dance pop', 'pop']"
Katy Perry,6jJ0s89eD6GaHleKKya26X,['pop']
Big Sean,0c173mlxpT3dSFRgMO8XPh,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']"
Funk Wav,4A0TivfinfALCAMJqqjZIk,['funktronica']
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,"['canadian pop', 'dance pop', 'pop']"
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,['pop']
Keri Hilson,63wjoROpeh5f11Qm93UiJ1,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']"
ACRAZE,4pnp4w9g30yLfVIAFnZMRd,"['pop dance', 'tech house']"
Cherish,1c70yCa8sRgIiQxl3HOEFo,"['atl hip hop', 'girl group', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']"
cassö,5wCmhq5J2hPwL2r0eKurxn,['hypertechno']
D-Block Europe,5VadK1havLhK1OpKYsXv9y,"['melodic drill', 'uk hip hop']"
Survivor,26bcq2nyj5GB7uRr558iQg,"['album rock', 'glam metal', 'hard rock', 'soft rock']"
BENNETT,1r43wW70tnGUauQYvY5w48,['hypertechno']
Imanbek,5rGrDvrLOV2VV8SCFVGWlj,"['electro house', 'pop dance', 'slap house']"
BYOR,0Upxnyh9nIUNSOmNE8WF4R,"['pop dance', 'russian edm']"
Sonny Fodera,39B7ChWwrWDs7zXlsu3MoP,"['house', 'pop dance', 'uk dance']"
MK,1yqxFtPHKcGcv6SXZNdyT9,"['house', 'pop dance']"
Clementine Douglas,4DWuml4Jf6K81b5rAPwMb6,['uk dance']
PEDRO SAMPAIO,5wbf52LA6kcaboHSN6NEF1,"['funk carioca', 'funk rj']"
OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,"['piano rock', 'pop']"
Becky Hill,4EPJlUEBy49EX1wuFOvtjK,"['pop dance', 'pop house', 'uk dance', 'uk pop']"
Ella Henderson,7nDsS0l5ZAzMedVRKPP8F1,"['dance pop', 'pop dance', 'talent show', 'uk pop']"
D.O.D,0Cs47vvRsPgEfliBU9KDiB,"['electro house', 'house', 'pop dance', 'uk dance']"
Carla Monroe,4S9LNSZusH3XflT3g32bqB,['uk dance']
Riton,7i9j813KFoSBMldGqlh2Z1,"['house', 'pop dance', 'uk dance']"
Nightcrawlers,1gALaWbNDnwS2ECV09sn2A,"['disco house', 'hip house', 'vocal house']"
Mufasa & Hypeman,4L2dV3zY7RmkeiNO035Fi0,['pop dance']
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']"
Dom Dolla,205i7E8fNVfojowcQSfK9m,"['australian house', 'deep groove house', 'house']"
Fred again..,4oLeXFyACqeem2VImYeBFe,"['edm', 'house', 'stutter house']"
Delilah Montagu,3WtrH1zNpzoPSz6XpwCh6y,['british singer-songwriter']
Rage Against The Machine,2d0hyoQ5ynDBnkvAbJKORj,"['alternative metal', 'alternative rock', 'conscious hip hop', 'funk metal', 'hard rock', 'nu metal', 'political hip hop', 'post-grunge', 'rap metal', 'rap rock', 'rock']"
Rudimental,4WN5naL3ofxrVBgFpguzKo,"['pop dance', 'uk dance', 'uk funky']"
Naeleck,2DYDFBqoaBP2i9XrTGpOgF,"['electro', 'hypertechno']"
Haley Reinhart,5cKlE8f6b26h61Ml7m052Q,['idol']
Robert Miles,2YVF0Ou5zIc4mpgtLIlGN0,"['dream trance', 'eurodance', 'trance']"
Tom Grennan,5SHxzwjek1Pipl1Yk11UHv,['uk pop']
MistaJam,3qi5fhSI6aUecvRN0XqIJ2,['uk dance']
John Newman,34v5MVKeQnIo0CWYMbbrPf,['dance pop']
Justin Timberlake,31TPClRtHm23RisEBtV3X7,"['dance pop', 'pop']"
Zoe Wees,03d2mJXSMtuPI0nIvLnhoS,['german pop']
Swedish House Mafia,1h6Cn3P4NGzXbaXidqURXs,"['edm', 'pop dance', 'progressive electro house']"
SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,"['melodic rap', 'slap house']"
Bill Conti,272ygo5fv9cYsiCLcV0HV2,"['classic soundtrack', 'theme']"
MEDUZA,0xRXCcSX89eobfrshSVdyu,"['edm', 'pop dance', 'pop house', 'uk dance']"
Goodboys,2nm38smINjms1LtczR0Cei,"['pop dance', 'uk dance']"
Galantis,4sTQVOfp9vEMCemLw50sbu,"['dance pop', 'edm', 'pop', 'pop dance']"
Luude,20cmhoGvN0eyzhmsHJH1Mg,['aussietronica']
Mattafix,5KORW1YGiERJqfuYjXMCyz,['reggae fusion']
Missy Elliott,2wIVse2owClT7go1WT98tk,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']"
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,"['dance pop', 'pop']"
Little Mix,3e7awlrlDSwF3iM0WBjGMp,"['girl group', 'pop', 'talent show', 'uk pop']"
Normani,2cWZOOzeOm4WmBJRnD5R7I,"['pop', 'r&b']"
Fatman Scoop,15GGbJKqC6w0VYyAJtjej6,['nyc rap']
BLACKPINK,41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group', 'pop']"
Wizkid,3tVQdUvClmAT7URs9V3rsp,"['afrobeats', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop']"
Kyla,77DAFfvm3O9zT5dIoG0eIO,['uk funky']
Eliza Rose,4XC335ouK6pXyq4QiIb8bP,['house']
Interplanetary Criminal,6uJ51uV5rYzu1MJkC4CceI,"['breaks', 'experimental house']"
Stormzy,2SrSdSvpminqmStGELCSNd,"['grime', 'uk hip hop']"
Burna Boy,3wcj11K77LjEY1PkEazffa,"['afrobeats', 'azontobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']"
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'singer-songwriter pop', 'uk pop']"
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,"['r&b', 'uk contemporary r&b']"
Demi Lovato,6S2OmqARrzebs0tKUEyXyp,"['pop', 'post-teen pop']"
NewJeans,6HvZYsbFfjnjFrWF950C9d,"['k-pop', 'k-pop girl group']"
Baby Queen,4VqlewwKZJoIcA88PYHUDd,['modern alternative pop']
Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,['pop']
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"['art pop', 'pop']"
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,"['pop', 'post-teen pop']"
Jess Glynne,4ScCswdRlyA23odg9thgIO,"['dance pop', 'pop', 'uk pop']"
